,target
984,0
499,0
315,0
1038,0
618,0
30,1
1064,0
419,0
1086,0
141,1
975,0
459,0
164,0
301,0
389,0
138,1
89,1
400,0
1108,0
363,0
302,0
719,0
732,0
250,0
591,0
1014,0
207,0
268,0
505,0
1040,0
746,0
54,1
465,0
617,0
143,1
762,0
958,0
609,0
543,0
568,0
631,0
326,0
557,0
376,0
783,0
258,0
316,0
133,1
95,1
369,0
177,0
304,0
406,0
38,1
496,0
530,0
1053,0
287,0
793,0
819,0
910,0
242,0
67,1
592,0
737,0
790,0
47,1
741,0
101,1
604,0
537,0
1132,0
355,0
598,0
1106,0
788,0
1078,0
1103,0
381,0
436,0
747,0
1107,0
529,0
1139,0
204,0
218,0
778,0
110,1
384,0
473,0
752,0
1005,0
736,0
25,1
594,0
1028,0
509,0
28,1
854,0
209,0
440,0
823,0
297,0
203,0
45,1
155,1
644,0
849,0
359,0
1013,0
852,0
407,0
765,0
572,0
877,0
697,0
1113,0
1147,0
84,1
1071,0
704,0
508,0
368,0
466,0
478,0
1124,0
424,0
186,0
518,0
172,0
1122,0
1152,0
226,0
85,1
337,0
52,1
897,0
780,0
869,0
991,0
1052,0
493,0
1155,0
912,0
743,0
950,0
1160,0
795,0
42,1
90,1
20,1
398,0
274,0
395,0
494,0
87,1
853,0
1117,0
668,0
633,0
687,0
36,1
904,0
946,0
720,0
970,0
1158,0
1006,0
893,0
495,0
178,0
379,0
238,0
170,0
690,0
925,0
99,1
531,0
158,1
448,0
814,0
117,1
536,0
964,0
661,0
482,0
1024,0
211,0
390,0
50,1
1100,0
1019,0
157,1
740,0
216,0
271,0
987,0
1004,0
883,0
559,0
244,0
758,0
575,0
648,0
125,1
306,0
826,0
1134,0
486,0
945,0
222,0
938,0
364,0
202,0
911,0
333,0
864,0
1055,0
1010,0
240,0
111,1
270,0
4,1
744,0
689,0
168,0
772,0
183,0
309,0
40,1
1111,0
951,0
934,0
578,0
107,1
1047,0
678,0
166,0
1154,0
839,0
589,0
1128,0
1072,0
638,0
280,0
856,0
417,0
78,1
865,0
832,0
805,0
843,0
882,0
827,0
586,0
481,0
766,0
156,1
145,1
1097,0
576,0
593,0
1081,0
857,0
1057,0
898,0
953,0
131,1
698,0
833,0
708,0
1140,0
468,0
179,0
351,0
450,0
394,0
1016,0
69,1
35,1
544,0
837,0
323,0
432,0
121,1
1096,0
948,0
573,0
357,0
625,0
1074,0
997,0
370,0
884,0
128,1
988,0
829,0
587,0
511,0
444,0
483,0
942,0
293,0
891,0
445,0
1087,0
688,0
343,0
774,0
998,0
1150,0
23,1
995,0
134,1
17,1
683,0
98,1
935,0
654,0
820,0
1079,0
342,0
149,1
347,0
1133,0
798,0
373,0
768,0
91,1
1099,0
585,0
680,0
180,0
800,0
418,0
643,0
710,0
794,0
192,0
867,0
980,0
900,0
167,0
79,1
549,0
458,0
206,0
561,0
470,0
452,0
651,0
806,0
535,0
1093,0
354,0
490,0
396,0
171,0
750,0
1156,0
782,0
113,1
433,0
711,0
264,0
811,0
718,0
1059,0
130,1
673,0
542,0
1110,0
152,1
485,0
335,0
817,0
122,1
677,0
700,0
990,0
1068,0
1073,0
365,0
435,0
569,0
1076,0
556,0
43,1
873,0
981,0
278,0
1031,0
692,0
902,0
667,0
810,0
582,0
397,0
150,1
1046,0
276,0
147,1
1069,0
642,0
613,0
515,0
438,0
797,0
551,0
523,0
187,0
813,0
